Tabel 1 Nitrogenase activity collected from literature,,,,,
Species,Original activity,Original unit,Transformed activity,Transformed unit,Literature
Bacillus haynesii,82.133±1.4,nitrogenase n-mole C2 H4/ ml/24h,3.422,nmol/mL/h,"Abdel-Hamid, M. S., Fouda, A., El-Ela, H. K. A., El-Ghamry, A. A., & Hassan, S. E. D. (2021). Plant growth-promoting properties of bacterial endophytes isolated from roots of Thymus vulgaris L. and investigate their role as biofertilizers to enhance the essential oil contents. Biomolecular concepts, 12(1), 175-196."
Bacillus licheniformis,16.65 ± 1.25,n moL C2H4 mg protein h− 1,16.65 ,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Song, Q. Q., Guo, D. J., Solanki, M. K., ... & Li, Y. R. (2020). Diversity of nitrogen-fixing rhizobacteria associated with sugarcane: a comprehensive study of plant-microbe interactions for growth enhancement in Saccharum spp. BMC Plant Biology, 20, 1-21."
Bacillus licheniformis,4.9 ± 0.14,nmol ethylene h−1 mg protein−1,4.9 ,nmol/mg/h,"Islam, R., Trivedi, P., Madhaiyan, M., Seshadri, S., Lee, G., Yang, J., ... & Sa, T. (2010). Isolation, enumeration, and characterization of diazotrophic bacteria from paddy soil sample under long-term fertilizer management experiment. Biology and fertility of soils, 46, 261-269."
Bacillus licheniformis,0,nmol/h/vial,0,nmol/tube/h,"Mukhtar, S., Zareen, M., Khaliq, Z., Mehnaz, S., & Malik, K. A. (2020). Phylogenetic analysis of halophyte‐associated rhizobacteria and effect of halotolerant and halophilic phosphate‐solubilizing biofertilizers on maize growth under salinity stress conditions. Journal of applied microbiology, 128(2), 556-573."
Bacillus licheniformis,0,nmol/h/vial,0,nmol/tube/h,"Mukhtar, S., Zareen, M., Khaliq, Z., Mehnaz, S., & Malik, K. A. (2020). Phylogenetic analysis of halophyte‐associated rhizobacteria and effect of halotolerant and halophilic phosphate‐solubilizing biofertilizers on maize growth under salinity stress conditions. Journal of applied microbiology, 128(2), 556-573."
Bacillus licheniformis,322.4±2.1,nitrogenase n-mole C2 H4/ ml/24h,13.433,nmol/mL/h,"Abdel-Hamid, M. S., Fouda, A., El-Ela, H. K. A., El-Ghamry, A. A., & Hassan, S. E. D. (2021). Plant growth-promoting properties of bacterial endophytes isolated from roots of Thymus vulgaris L. and investigate their role as biofertilizers to enhance the essential oil contents. Biomolecular concepts, 12(1), 175-196."
Bacillus licheniformis,300,nmol ethylene ml−1 h−1,300,nmol/mL/h,"BAI, J., YAO, T., LEI, Y., WANG, Z. J., WANG, X. Y., & YUAN, L. H. (2022). Screening, identification and characteristics of endophytic nitrogen-fixing bacteria in Cerasus humilis. Acta Agrestia Sinica, 30(4), 859."
Bacillus licheniformis RC08,0.17±0.05,"nmol C2H4,107 cfu h–1",0.017,nmol/h/10*6cells,"Çakmakçı, R., Erat, M., Erdoğan, Ü., & Dönmez, M. F. (2007). The influence of plant growth–promoting rhizobacteria on growth and enzyme activities in wheat and spinach plants. Journal of Plant Nutrition and Soil Science, 170(2), 288-295."
Bacillus licheniformis RC636,0.48 ± 0.12,"nmol C2H4,
107 CFU h−1",0.048,nmol/h/10*6cells,"Çakmakçı, R., Haliloglu, K., Türkoğlu, A., Özkan, G., Kutlu, M., Varmazyari, A., ... & Bocianowski, J. (2023). Effect of different Plant Growth-Promoting Rhizobacteria on biological soil properties, growth, yield and quality of oregano (Origanum onites L.). Agronomy, 13(10), 2511."
Bacillus licheniformis strain RH101,27.62,nmol of C2H4 formed ml−1 culture media in 72 h,0.384,nmol/mL/h,"Barua, S., Tripathi, S., Chakraborty, A., Ghosh, S., & Chakrabarti, K. (2011). Studies on non-symbiotic diazotrophic bacterial populations of coastal arable saline soils of India. Indian Journal of Microbiology, 51, 369-376."
Bacillus M-13,0,"nmol C2H4,107 cfu h–1",0,nmol/h/10*6cells,"Çakmakçı, R., Erat, M., Erdoğan, Ü., & Dönmez, M. F. (2007). The influence of plant growth–promoting rhizobacteria on growth and enzyme activities in wheat and spinach plants. Journal of Plant Nutrition and Soil Science, 170(2), 288-295."
Bacillus megaterum RC01,0,"nmol C2H4, 107 cfu h−1",0,nmol/h/10*6cells,"Erturk, Y., Ercisli, S., & Cakmakci, R. A. M. A. Z. A. N. (2012). Yield and growth response of strawberry to plant growth-promoting rhizobacteria inoculation. Journal of plant nutrition, 35(6), 817-826."
Bacillus mycoides,29 ± 1,C2H4 nmol/mL·h,29 ,nmol/mL/h,"Lan, X., Zhou, H., Yao, T., Dong, W., Zhang, J., & Han, D. (2020). Community structure and function of cultivable endophytic bacteria isolated from four moss species in Qilian Mountain. Symbiosis, 80, 257-267."
Bacillus mycoides,6.8,nmol C2H4 mg protein h−1,6.8,nmol/mg/h,"Ambrosini, A., Stefanski, T., Lisboa, B. B., Beneduzi, A., Vargas, L. K., & Passaglia, L. M. P. (2016). Diazotrophic bacilli isolated from the sunflower rhizosphere and the potential of Bacillus mycoides B38V as biofertiliser. Annals of applied biology, 168(1), 93-110."
Bacillus mycoides,15.94 ± 2.11,n moL C2H4 mg protein h− 1,15.94 ,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Song, Q. Q., Guo, D. J., Solanki, M. K., ... & Li, Y. R. (2020). Diversity of nitrogen-fixing rhizobacteria associated with sugarcane: a comprehensive study of plant-microbe interactions for growth enhancement in Saccharum spp. BMC Plant Biology, 20, 1-21."
Bacillus mycoides,37.31 ± 2.60,(nmol/ethylene/ml/h,37.31,nmol/mL/h,"Sezen, A., Ozdal, M., Koc, K., & Algur, O. F. (2016). Isolation and characterization of plant growth promoting rhizobacteria (PGPR) and their effects on improving growth of wheat. Journal of Applied Biological Sciences, 10(1), 41-46."
Bacillus OSU-142,0.42±0.06,"nmol C2H4,107 cfu h–1",0.042,nmol/h/10*6cells,"Çakmakçı, R., Erat, M., Erdoğan, Ü., & Dönmez, M. F. (2007). The influence of plant growth–promoting rhizobacteria on growth and enzyme activities in wheat and spinach plants. Journal of Plant Nutrition and Soil Science, 170(2), 288-295."
Bacillus paralicheniformis,0.038/0/0.008/0,nmol C2H4 h−1 OD600-1,0.0115,nmol/OD600/h,"Bizjak, T., Sellstedt, A., Gratz, R., & Nordin, A. (2023). Presence and activity of nitrogen-fixing bacteria in Scots pine needles in a boreal forest: a nitrogen-addition experiment. Tree Physiology, 43(8), 1354-1364."
Bacillus paralicheniformis,35.93 ± 2.97,nM ml−1 h−1,35.93 ,nmol/mL/h,"Abadi, V. A. J. M., Sepehri, M., Rahmani, H. A., Zarei, M., Ronaghi, A., Taghavi, S. M., & Shamshiripour, M. (2020). Role of dominant phyllosphere bacteria with plant growth–promoting characteristics on growth and nutrition of maize (Zea mays L.). Journal of Soil Science and Plant Nutrition, 20, 2348-2363."
Bacillus paralicheniformis,424.81/290,nmol ethylene ml−1 h−1,357.405,nmol/mL/h,"BAI, J., YAO, T., LEI, Y., WANG, Z. J., WANG, X. Y., & YUAN, L. H. (2022). Screening, identification and characteristics of endophytic nitrogen-fixing bacteria in Cerasus humilis. Acta Agrestia Sinica, 30(4), 859."
Bacillus paramycoides MCCC 1A04098,351.84±1.17/258.72±1.01,n mole C2H4/ml/24 h,14.66,nmol/mL/h,"El-Sersawy, M. M., Hassan, S. E. D., El-Ghamry, A. A., El-Gwad, A. M. A., & Fouda, A. (2021). Implication of plant growth-promoting rhizobacteria of Bacillus spp. as biocontrol agents against wilt disease caused by Fusarium oxysporum Schlecht. in Vicia faba L. Biomolecular concepts, 12(1), 197-214."
Bacillus paranthracis,167.2,nmole/h/vial,167.2,nmol/tube/h,"Renugadevi, R., Ayyappadas, M. P., Mahesh, M., Kiruba, M., & Arunkumar, M. (2024). Nitrogen Fixing Activity of Endophytic Bacteria Associated with Kalanchoe pinnata (Lam.) and its effect on Zea mays. Biosciences Biotechnology Research Asia, 21(1), 163-174."
Bacillus pseudomycoides,32.1,nmol C2H2·mL−1·h−1,32.1,nmol/mL/h,"Liu, T., Zhai, C., Zhang, J., & Coulter, J. A. (2021). Genetic diversity and promotion plant growth of culturable endophytic diazotrophs associated with seashore paspalum cultivars. New Zealand Journal of Crop and Horticultural Science, 49(2-3), 243-257."
Bacillus pumilus,437.26,nmol ethylene mg protein−1 h−1,437.26,nmol/mg/h,"Kaushal, M., & Kaushal, R. (2015). Acetylene reductase activity and molecular characterization of plant growth promoting rhizobacteria to know efficacy in integrated nutrient management system. Indian Journal of Biotechnology, 14(2), 221-227."
Bacillus pumilus,20.3±0.7,nmol of ethylene /h/vial,20.3,nmol/tube/h,"Rajput, L. (2014). Biochemical and Molecular Characterization of Salinity Tolerant PGPR Strains (Doctoral dissertation, Quaid-i-Azam University, Islamabad.)."
Bacillus pumilus,17.65 ± 0.27,n moL C2H4 mg protein h− 1,17.65 ,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Song, Q. Q., Guo, D. J., Solanki, M. K., ... & Li, Y. R. (2020). Diversity of nitrogen-fixing rhizobacteria associated with sugarcane: a comprehensive study of plant-microbe interactions for growth enhancement in Saccharum spp. BMC Plant Biology, 20, 1-21."
Bacillus pumilus,2.40 ± 0.24,n moL C2H4 mg protein h− 1,2.40 ,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Song, Q. Q., Guo, D. J., Solanki, M. K., ... & Li, Y. R. (2020). Diversity of nitrogen-fixing rhizobacteria associated with sugarcane: a comprehensive study of plant-microbe interactions for growth enhancement in Saccharum spp. BMC Plant Biology, 20, 1-21."
Bacillus pumilus,14.23 ± 1.07,n moL C2H4 mg protein h− 1,14.23 ,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Song, Q. Q., Guo, D. J., Solanki, M. K., ... & Li, Y. R. (2020). Diversity of nitrogen-fixing rhizobacteria associated with sugarcane: a comprehensive study of plant-microbe interactions for growth enhancement in Saccharum spp. BMC Plant Biology, 20, 1-21."
Bacillus pumilus,424.25,ηmole C2H4 h−1 mg−1 protein,424.25,nmol/mg/h,"Kaushal, M., Mandyal, P., & Kaushal, R. (2019). Field based assessment of Capsicum annuum performance with inoculation of rhizobacterial consortia. Microorganisms, 7(3), 89."
Bacillus pumilus,0,nmol/h/vial,0,nmol/tube/h,"Mukhtar, S., Zareen, M., Khaliq, Z., Mehnaz, S., & Malik, K. A. (2020). Phylogenetic analysis of halophyte‐associated rhizobacteria and effect of halotolerant and halophilic phosphate‐solubilizing biofertilizers on maize growth under salinity stress conditions. Journal of applied microbiology, 128(2), 556-573."
Bacillus pumilus,24.92 ± 1.96,nM ml−1 h−1,24.92 ,nmol/mL/h,"Abadi, V. A. J. M., Sepehri, M., Rahmani, H. A., Zarei, M., Ronaghi, A., Taghavi, S. M., & Shamshiripour, M. (2020). Role of dominant phyllosphere bacteria with plant growth–promoting characteristics on growth and nutrition of maize (Zea mays L.). Journal of Soil Science and Plant Nutrition, 20, 2348-2363."
Bacillus pumilus,305.63/323.36,nmol ethylene ml−1 h−1,314.495,nmol/mL/h,"BAI, J., YAO, T., LEI, Y., WANG, Z. J., WANG, X. Y., & YUAN, L. H. (2022). Screening, identification and characteristics of endophytic nitrogen-fixing bacteria in Cerasus humilis. Acta Agrestia Sinica, 30(4), 859."
Bacillus pumilus  FS55 (AF260751),25.43,"nmol Ethylene
mg Protein−1 hr−1",25.43,nmol/mg/h,"Gupta, G., Paul, S., Singh, S., Pietramellara, G., Pathan, S. I., Danish, S., ... & Jha, P. N. (2022). Exploring functional diversity and community structure of diazotrophic endophytic bacteria associated with Pennisetum glaucum growing under field in a semi-arid region. Land, 11(7), 991."
Bacillus pumilus ATCC6071,1.2, u mol ethylene mg−1 h−1,1200,nmol/mg/h,"S Zawoznik, M., C Vázquez, S., Díaz Herrera, S. M., & D Groppa, M. (2014). Search for endophytic diazotrophs in barley seeds. Brazilian Journal of Microbiology, 45, 621-625."
Bacillus pumilus AY548955,93.3 ± 3.1,nmol C2H2/ h/vial,93.3,nmol/tube/h,"Yasmin, S., Hafeez, F. Y., Schmid, M., & Hartmann, A. (2013). Plant-beneficial rhizobacteria for sustainable increased yield of cotton with reduced level of chemical fertilizers. Pak. J. Bot, 45(2), 655-662."
Bacillus pumilus KP192031,437.26,nmole C2H4 h−1 mg−1 protein,437.26,nmol/mg/h,"Gabra, F. A., Abd-Alla, M. H., Danial, A. W., Abdel-Basset, R., & Abdel-Wahab, A. M. (2019). Production of biofuel from sugarcane molasses by diazotrophic Bacillus and recycle of spent bacterial biomass as biofertilizer inoculants for oil crops. Biocatalysis and Agricultural Biotechnology, 19, 101112."
Bacillus pumilus MA9,2.348,"nmol of
C2H4 Formed
mL−1 Culture
Media 72 h−1",0.0326,nmol/mL/h,"Hadj Brahim, A., Ben Ali, M., Daoud, L., Jlidi, M., Akremi, I., Hmani, H., ... & Ben Ali, M. (2022). Biopriming of durum wheat seeds with endophytic diazotrophic bacteria enhances tolerance to Fusarium head blight and salinity. Microorganisms, 10(5), 970."
Bacillus pumilus RC125,0.58 ± 0.12,"nmol C2H4,
107 CFU h−1",0.058,nmol/h/10*6cells,"Çakmakçı, R., Haliloglu, K., Türkoğlu, A., Özkan, G., Kutlu, M., Varmazyari, A., ... & Bocianowski, J. (2023). Effect of different Plant Growth-Promoting Rhizobacteria on biological soil properties, growth, yield and quality of oregano (Origanum onites L.). Agronomy, 13(10), 2511."
Bacillus pumilus RC39,0.28 ± 0.5,"nmol C2H4,
107 CFU h−1",0.028,nmol/h/10*6cells,"Çakmakçı, R., Haliloglu, K., Türkoğlu, A., Özkan, G., Kutlu, M., Varmazyari, A., ... & Bocianowski, J. (2023). Effect of different Plant Growth-Promoting Rhizobacteria on biological soil properties, growth, yield and quality of oregano (Origanum onites L.). Agronomy, 13(10), 2511."
Bacillus pumilus strain Y24 (JQ798393),57.73 ± 6.9 ,"nmol Ethylene
mg Protein−1 hr−1",57.73,nmol/mg/h,"Gupta, G., Paul, S., Singh, S., Pietramellara, G., Pathan, S. I., Danish, S., ... & Jha, P. N. (2022). Exploring functional diversity and community structure of diazotrophic endophytic bacteria associated with Pennisetum glaucum growing under field in a semi-arid region. Land, 11(7), 991."
Bacillus RC03,0,"nmol C2H4, 107 cfu h−1",0,nmol/h/10*6cells,"Erturk, Y., Ercisli, S., & Cakmakci, R. A. M. A. Z. A. N. (2012). Yield and growth response of strawberry to plant growth-promoting rhizobacteria inoculation. Journal of plant nutrition, 35(6), 817-826."
Bacillus RC23,0,"nmol C2H4, 107 cfu h−1",0,nmol/h/10*6cells,"Erturk, Y., Ercisli, S., & Cakmakci, R. A. M. A. Z. A. N. (2012). Yield and growth response of strawberry to plant growth-promoting rhizobacteria inoculation. Journal of plant nutrition, 35(6), 817-826."
Bacillus safensis,5.53 ± 0.56,n moL C2H4 mg protein h− 1,5.53 ,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Song, Q. Q., Guo, D. J., Solanki, M. K., ... & Li, Y. R. (2020). Diversity of nitrogen-fixing rhizobacteria associated with sugarcane: a comprehensive study of plant-microbe interactions for growth enhancement in Saccharum spp. BMC Plant Biology, 20, 1-21."
Bacillus safensis,25.87 ± 1.72,n moL C2H4 mg protein h− 1,25.87 ,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Song, Q. Q., Guo, D. J., Solanki, M. K., ... & Li, Y. R. (2020). Diversity of nitrogen-fixing rhizobacteria associated with sugarcane: a comprehensive study of plant-microbe interactions for growth enhancement in Saccharum spp. BMC Plant Biology, 20, 1-21."
Bacillus safensis,0,nmol/h/vial,0,nmol/tube/h,"Mukhtar, S., Zareen, M., Khaliq, Z., Mehnaz, S., & Malik, K. A. (2020). Phylogenetic analysis of halophyte‐associated rhizobacteria and effect of halotolerant and halophilic phosphate‐solubilizing biofertilizers on maize growth under salinity stress conditions. Journal of applied microbiology, 128(2), 556-573."
Bacillus safensis,0,nmol/h/vial,0,nmol/tube/h,"Mukhtar, S., Zareen, M., Khaliq, Z., Mehnaz, S., & Malik, K. A. (2020). Phylogenetic analysis of halophyte‐associated rhizobacteria and effect of halotolerant and halophilic phosphate‐solubilizing biofertilizers on maize growth under salinity stress conditions. Journal of applied microbiology, 128(2), 556-573."
Bacillus safensis NBRC 100820 (NR_113945),32.42 ± 1.99,nmole C2H4 produced mg−1 dry bacteria h−1,32.42,nmol/mg/h,"Banik, A., Mukhopadhaya, S. K., & Dangar, T. K. (2016). Characterization of N 2-fixing plant growth promoting endophytic and epiphytic bacterial community of Indian cultivated and wild rice (Oryza spp.) genotypes. Planta, 243, 799-812."
Bacillus safensis MA19,2.428,"nmol of
C2H4 Formed
mL−1 Culture
Media 72 h−1",0.0337,nmol/mL/h,"Hadj Brahim, A., Ben Ali, M., Daoud, L., Jlidi, M., Akremi, I., Hmani, H., ... & Ben Ali, M. (2022). Biopriming of durum wheat seeds with endophytic diazotrophic bacteria enhances tolerance to Fusarium head blight and salinity. Microorganisms, 10(5), 970."
Bacillus sp.,120.5,nmol ethylene/h/mg protein/h.,120.5,nmol/mg/h,"Sarathambal, C., Ilamurugu, K., Balachandar, D., Chinnadurai, C., & Gharde, Y. (2015). Characterization and crop production efficiency of diazotrophic isolates from the rhizosphere of semi-arid tropical grasses of India. Applied Soil Ecology, 87, 1-10."
Bacillus sp.,641.4 ± 0.89/2388.3 ± 0.98/295 ± 0.68/3624 ± 1.52/89.7 ± 0.45/1077.4 ± 0.90,n mole C2H 4 produced/h/mg protein,1352.633,nmol/mg/h,"Naureen, Z., Yasmin, S., Hameed, S., Malik, K. A., & Hafeez, F. Y. (2005). Characterization and screening of bacteria from rhizosphere of maize grown in Indonesian and Pakistani soils. Journal of Basic Microbiology: An International Journal on Biochemistry, Physiology, Genetics, Morphology, and Ecology of Microorganisms, 45(6), 447-459."
Bacillus sp.,2.25,u mole C2H4 h-1 mg-1,2250,nmol/mg/h,"Majeed, A., Abbasi, M. K., Hameed, S., Imran, A., & Rahim, N. (2015). Isolation and characterization of plant growth-promoting rhizobacteria from wheat rhizosphere and their effect on plant growth promotion. Frontiers in microbiology, 6, 198."
Bacillus sp.,27.2 ± 3.8,nmol C2H4 h−1 mg−1 protein,27.2,nmol/mg/h,"Yasmin, S., Rahman Bakar, M. A., Malik, K. A., & Hafeez, F. Y. (2004). Isolation, characterization and beneficial effects of rice associated plant growth promoting bacteria from Zanzibar soils. Journal of Basic Microbiology: An International Journal on Biochemistry, Physiology, Genetics, Morphology, and Ecology of Microorganisms, 44(3), 241-252."
Bacillus sp.,20.3 ± 0.7,nmol/h/vial,20.3,nmol/tube/h,"Hafeez, F. Y., Yasmin, S., Ariani, D., Renseigné, N., Zafar, Y., & Malik, K. A. (2006). Plant growth-promoting bacteria as biofertilizer. Agronomy for sustainable development, 26(2), 143-150."
Bacillus sp. 21N2,3.87 ± 0.07,µmole C2H4 ml-1 h-1,3870,nmol/mL/h,"Smirnova, I., Sadanov, A., Baimakhanova, G., Faizulina, E., & Tatarkina, L. (2023). Biological scarification: Biological method for increasing the germination of seeds of Alfalfa (Medicago sativa L.). Journal of Biological Research-Thessaloniki, 30."
Bacillus sp. By113(B)Ydz-dh,4.51,nmol of C2H4 formed ml−1 culture media in 72 h,0.0626,nmol/mL/h,"Barua, S., Tripathi, S., Chakraborty, A., Ghosh, S., & Chakrabarti, K. (2011). Studies on non-symbiotic diazotrophic bacterial populations of coastal arable saline soils of India. Indian Journal of Microbiology, 51, 369-376."
Bacillus sp. EN-24,20.11,nmol C2H4 h−1 (107 cells)−1,2.011,nmol/h/10*6cells,"Kruasuwan, W., & Thamchaipenet, A. (2016). Diversity of culturable plant growth-promoting bacterial endophytes associated with sugarcane roots and their effect of growth by co-inoculation of diazotrophs and actinomycetes. Journal of Plant Growth Regulation, 35, 1074-1087."
Bacillus sp. IHK-13,3.21,umoles C2H4 mg−1 protein hr−1,3210,nmol/mg/h,"Mir, M. I., Hameeda, B., Quadriya, H., Kumar, B. K., Ilyas, N., Kee Zuan, A. T., ... & Sayyed, R. Z. (2022). Multifarious indigenous diazotrophic rhizobacteria of rice (Oryza sativa L.) rhizosphere and their effect on plant growth promotion. Frontiers in Nutrition, 8, 781764."
Bacillus sp. isolate 28A,31.5,nmol of C2H4 formed ml−1 culture media in 72 h,0.4375,nmol/mL/h,"Barua, S., Tripathi, S., Chakraborty, A., Ghosh, S., & Chakrabarti, K. (2011). Studies on non-symbiotic diazotrophic bacterial populations of coastal arable saline soils of India. Indian Journal of Microbiology, 51, 369-376."
Bacillus sp. L-2,28.16±6.26,(nmol/mg protein h,28.16,nmol/mg/h,"Niu, X. B., Yang, H., Sun, J. G., Chen, Q., Wang, Y. J., Xu, B. L., ... & Gao, M. (2018). Characterizations of three diazotrophic Paenibacillus spp. and their effect on Chinese pakchoi yield and soil enzyme activities. Acta Microbiologica Sinica, 58(7), 1213-1122."
Bacillus sp. MOLA 87,71.26,nmol of C2H4 formed ml−1 culture media in 72 h,0.98972,nmol/mL/h,"Barua, S., Tripathi, S., Chakraborty, A., Ghosh, S., & Chakrabarti, K. (2011). Studies on non-symbiotic diazotrophic bacterial populations of coastal arable saline soils of India. Indian Journal of Microbiology, 51, 369-376."
Bacillus sp. MR42,0,nmol h−1mg−1 protein,0,nmol/mg/h,"Rasul, M., Yasmin, S., Zubair, M., Mahreen, N., Yousaf, S., Arif, M., ... & Mirza, M. S. (2019). Phosphate solubilizers as antagonists for bacterial leaf blight with improved rice growth in phosphorus deficit soil. Biological Control, 136, 103997."
Bacillus sp. No.49,0,(nmol C2H4/vail/h,0,nmol/tube/h,"Su, Y., Shinano, T., Purnomo, E., & OSAKI, M. (2007). Growth promotion of rice by inoculation of acid-tolerant, N2-fixing bacteria isolated from acid sulfate paddy soil in South Kalimantan, Indonesia. Tropics, 16(3), 261-274."
Bacillus sp. P-1,1.74±0.61,(nmol/mg protein h,1.74,nmol/mg/h,"Niu, X. B., Yang, H., Sun, J. G., Chen, Q., Wang, Y. J., Xu, B. L., ... & Gao, M. (2018). Characterizations of three diazotrophic Paenibacillus spp. and their effect on Chinese pakchoi yield and soil enzyme activities. Acta Microbiologica Sinica, 58(7), 1213-1122."
Bacillus sp. P-14,6.04±2.28,(nmol/mg protein h,6.04,nmol/mg/h,"Niu, X. B., Yang, H., Sun, J. G., Chen, Q., Wang, Y. J., Xu, B. L., ... & Gao, M. (2018). Characterizations of three diazotrophic Paenibacillus spp. and their effect on Chinese pakchoi yield and soil enzyme activities. Acta Microbiologica Sinica, 58(7), 1213-1122."
Bacillus sp. P-9,9.97±3.85,(nmol/mg protein h,9.97,nmol/mg/h,"Niu, X. B., Yang, H., Sun, J. G., Chen, Q., Wang, Y. J., Xu, B. L., ... & Gao, M. (2018). Characterizations of three diazotrophic Paenibacillus spp. and their effect on Chinese pakchoi yield and soil enzyme activities. Acta Microbiologica Sinica, 58(7), 1213-1122."
Bacillus sp. PN13,98.54,nmol of C2H4 formed ml−1 culture media in 72 h,1.369,nmol/mL/h,"Barua, S., Tripathi, S., Chakraborty, A., Ghosh, S., & Chakrabarti, K. (2011). Studies on non-symbiotic diazotrophic bacterial populations of coastal arable saline soils of India. Indian Journal of Microbiology, 51, 369-376."
Bacillus sp. PN13,75.02,nmol of C2H4 formed ml−1 culture media in 72 h,1.0419,nmol/mL/h,"Barua, S., Tripathi, S., Chakraborty, A., Ghosh, S., & Chakrabarti, K. (2011). Studies on non-symbiotic diazotrophic bacterial populations of coastal arable saline soils of India. Indian Journal of Microbiology, 51, 369-376."
Bacillus sp. strain RMB7,601,n mol acetylene h-1/vial,11.507,nmol/tube/h,"Ali, S., Hameed, S., Imran, A., Iqbal, M., & Lazarovits, G. (2014). Genetic, physiological and biochemical characterization of Bacillus sp. strain RMB7 exhibiting plant growth promoting and broad spectrum antifungal activities. Microbial cell factories, 13, 1-15."
Bacillus sp. SUT1 (JX198548),0.24±0.11, nmol ethylene mg−1 protein h−1,10.997,nmol/mg/h,"Piromyou, P., Noisangiam, R., Uchiyama, H., Tittabutr, P., Boonkerd, N., & Teaumroong, N. (2013). Indigenous microbial community structure in rhizosphere of Chinese kale as affected by plant growth-promoting rhizobacteria inoculation. Pedosphere, 23(5), 577-592."
Bacillus sp. W-6,1.83±0.71,(nmol/mg protein h,1.83,nmol/mg/h,"Niu, X. B., Yang, H., Sun, J. G., Chen, Q., Wang, Y. J., Xu, B. L., ... & Gao, M. (2018). Characterizations of three diazotrophic Paenibacillus spp. and their effect on Chinese pakchoi yield and soil enzyme activities. Acta Microbiologica Sinica, 58(7), 1213-1122."
Bacillus sp. ZW2531-1 (EF567395),32.4,"nmol Ethylene
mg Protein−1 hr−1",32.4,nmol/mg/h,"Gupta, G., Paul, S., Singh, S., Pietramellara, G., Pathan, S. I., Danish, S., ... & Jha, P. N. (2022). Exploring functional diversity and community structure of diazotrophic endophytic bacteria associated with Pennisetum glaucum growing under field in a semi-arid region. Land, 11(7), 991."
Bacillus sp.GL1,0,(nmol C2H4/vail/h,0,nmol/tube/h,"Su, Y., Shinano, T., Purnomo, E., & OSAKI, M. (2007). Growth promotion of rice by inoculation of acid-tolerant, N2-fixing bacteria isolated from acid sulfate paddy soil in South Kalimantan, Indonesia. Tropics, 16(3), 261-274."
Bacillus stratosphericus strain 290 (JQ860101),28.89,"nmol Ethylene
mg Protein−1 hr−1",28.89,nmol/mg/h,"Gupta, G., Paul, S., Singh, S., Pietramellara, G., Pathan, S. I., Danish, S., ... & Jha, P. N. (2022). Exploring functional diversity and community structure of diazotrophic endophytic bacteria associated with Pennisetum glaucum growing under field in a semi-arid region. Land, 11(7), 991."
Bacillus subtilis,418.45,nmol ethylene mg protein−1 h−1,418.45,nmol/mg/h,"Kaushal, M., & Kaushal, R. (2015). Acetylene reductase activity and molecular characterization of plant growth promoting rhizobacteria to know efficacy in integrated nutrient management system. Indian Journal of Biotechnology, 14(2), 221-227."
Bacillus subtilis,2.89 ± 0.37,nmol mg–1 protein h–1,2.89,nmol/mg/h,"Poonguzhali, S., Madhaiyan, M., & Sa, T. (2006). Cultivation-dependent characterization of rhizobacterial communities from field grown Chinese cabbage Brassica campestris ssp pekinensis and screening of traits for potential plant growth promotion. Plant and soil, 286, 167-180."
Bacillus subtilis,24.73 ± 0.61,n moL C2H4 mg protein h− 1,24.73 ,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Song, Q. Q., Guo, D. J., Solanki, M. K., ... & Li, Y. R. (2020). Diversity of nitrogen-fixing rhizobacteria associated with sugarcane: a comprehensive study of plant-microbe interactions for growth enhancement in Saccharum spp. BMC Plant Biology, 20, 1-21."
Bacillus subtilis,19.70 ± 0.67,n moL C2H4 mg protein h− 1,19.70 ,nmol/mg/h,"Singh, R. K., Singh, P., Li, H. B., Song, Q. Q., Guo, D. J., Solanki, M. K., ... & Li, Y. R. (2020). Diversity of nitrogen-fixing rhizobacteria associated with sugarcane: a comprehensive study of plant-microbe interactions for growth enhancement in Saccharum spp. BMC Plant Biology, 20, 1-21."
Bacillus subtilis,56.2 ± 2.5,n mole C2H2 reduced h−1mg−1 protein,56.2,nmol/mg/h,"Zahra, S. T., Tariq, M., Abdullah, M., Azeem, F., & Ashraf, M. A. (2023). Dominance of Bacillus species in the wheat (Triticum aestivum L.) rhizosphere and their plant growth promoting potential under salt stress conditions. PeerJ, 11, e14621."
Bacillus subtilis,56.2 ± 2.5,"n mole C2H2
reduced h−1mg−1
protein",56.2,nmol/mg/h,"Zahra, S. T., Tariq, M., Abdullah, M., Azeem, F., & Ashraf, M. A. (2023). Dominance of Bacillus species in the wheat (Triticum aestivum L.) rhizosphere and their plant growth promoting potential under salt stress conditions. PeerJ, 11, e14621."
Bacillus subtilis,435.26,ηmole C2H4 h−1 mg−1 protein,435.26,nmol/mg/h,"Kaushal, M., Mandyal, P., & Kaushal, R. (2019). Field based assessment of Capsicum annuum performance with inoculation of rhizobacterial consortia. Microorganisms, 7(3), 89."
